Name,Disabled,TID,InfoTID,SWF,ExportName,TileX100,TileY100,RequiredTH,AutomaticUpgrades,BuildTimeD,BuildTimeH,BuildTimeM,BuildTimeS,RequiresBuilder,BuildResource,BuildCost,TownHallLevel,PickUpEffect,Animations,AnimX,AnimY,AnimID,AnimDir,AnimVisibilityOdds,HasInfoScreen,VillageType,UnitHousing,HousesUnits,AllianceBuilding,LightsOn
String,boolean,String,String,String,String,int,int,int,boolean,int,int,int,int,boolean,String,int,int,String,String,int,int,int,int,int,boolean,int,int,boolean,boolean,boolean
Shipyard,,TID_VILLAGE_OBJECT_SHIP,TID_VILLAGE_OBJECT_SHIP_INFO,sc/content.sc,northwestern_wreck,2700,5750,4,,,,,1,TRUE,Gold,0,4,Tap Ship,,,,,,,TRUE,,,,,TRUE
,,,,sc/content.sc,northwestern,2500,5460,,,0,0,0,5,,,,4,,,,,,,,,,,,,
Shipyard2,,TID_VILLAGE_OBJECT_SHIP,TID_VILLAGE_OBJECT_SHIP_INFO,sc/content.sc,northwestern,1450,-1100,0,,,,,,TRUE,,,4,Tap Ship,,,,,,,TRUE,1,,,,TRUE
Rowboat,,TID_VILLAGE_ROWBOAT,TID_VILLAGE_OBJECT_ROWBOAT_INFO,sc/content.sc,rowboat_idle_nowheel,3400,5460,4,,,,,1,TRUE,Gold,25000,4,Tap Ship,,,,,,,TRUE,,,,,
Rowboat2,,TID_VILLAGE_ROWBOAT,TID_VILLAGE_OBJECT_ROWBOAT_INFO,sc/content.sc,rowboat_idle,930,-800,0,,,,,,TRUE,,,4,Tap Ship,,,,,,,TRUE,1,,,,
ClanGate,,TID_CLAN_GATE,,sc/buildings.sc,clan_gate_0,-250,2150,0,TRUE,,,,,FALSE,,,4,Alliance Castle Pickup,,,,,,,FALSE,,,,TRUE,TRUE
,,,,,clan_gate_1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,clan_gate_2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,clan_gate_3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,clan_gate_4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,clan_gate_5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,clan_gate_6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,clan_gate_7,,,,,,,,,,,,,,,,,,,,,,,,,
Reserved1,TRUE,TID_CLAN_GATE,,sc/buildings.sc,clan_gate_1,-250,2150,0,,,,,,FALSE,,,4,Alliance Castle Pickup,,,,,,,FALSE,,,,,
Reserved2,TRUE,TID_CLAN_GATE,,sc/buildings.sc,clan_gate_2,-250,2150,0,,,,,,FALSE,,,4,Alliance Castle Pickup,,,,,,,FALSE,,,,,
Reserved3,TRUE,TID_CLAN_GATE,,sc/buildings.sc,clan_gate_3,-250,2150,0,,,,,,FALSE,,,4,Alliance Castle Pickup,,,,,,,FALSE,,,,,
Reserved4,TRUE,TID_CLAN_GATE,,sc/buildings.sc,clan_gate_4,-250,2150,0,,,,,,FALSE,,,4,Alliance Castle Pickup,,,,,,,FALSE,,,,,
Reserved5,TRUE,TID_CLAN_GATE,,sc/buildings.sc,clan_gate_5,-250,2150,0,,,,,,FALSE,,,4,Alliance Castle Pickup,,,,,,,FALSE,,,,,
Reserved6,TRUE,TID_CLAN_GATE,,sc/buildings.sc,clan_gate_6,-250,2150,0,,,,,,FALSE,,,4,Alliance Castle Pickup,,,,,,,FALSE,,,,,
Reserved7,TRUE,TID_CLAN_GATE,,sc/buildings.sc,clan_gate_7,-250,2150,0,,,,,,FALSE,,,4,Alliance Castle Pickup,,,,,,,FALSE,,,,,
ClanGamesCentre,,TID_CLAN_GAMES_CENTRE,TID_CLAN_GAMES_CENTRE_INFO,sc/buildings.sc,derby_01_active,-450,1450,3,,,,,,FALSE,,,3,Town Hall Pickup,,,,,,,FALSE,,,,,TRUE
,,,,,derby_01_inactive,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,derby_01_anticipation,,,,,,,,,,,,,,,,,,,,,,,,,
ClanGamesDeco1,,TID_CLAN_GAMES_CENTRE,,sc/buildings.sc,derby_fireworks_01,-300,1800,3,,,,,,FALSE,,,,Fireworks_01,,,,,,,FALSE,,,,,
ClanGamesDeco2,,TID_CLAN_GAMES_CENTRE,,sc/buildings.sc,derby_pony_01,-428,1995,3,,,,,,FALSE,,,,Derby_Pony,,,,,,,FALSE,,,,,
TraderBuilding,,TID_CLAN_GAMES_CENTRE,,sc/buildings.sc,trader_tent_01,-450,2850,4,,,,,,FALSE,,,,,,,,,,,FALSE,,,,,TRUE
TraderDeco1,,TID_CLAN_GAMES_CENTRE,,sc/buildings.sc,trader_pot_01,-200,2700,4,,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
TraderDeco2,,TID_CLAN_GAMES_CENTRE,,sc/buildings.sc,trader_rug_01,-250,2900,4,,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
TraderCharacter,,TID_CLAN_GAMES_CENTRE,,sc/characters.sc,trader_idle1_2,-160,3100,4,,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
ClanGamesHiddenDeco,,TID_CLAN_GAMES_CENTRE,,sc/buildings.sc,derby_butterfly_01,-300,1500,4,,,,,,,,,,,,,,,,,,,,,,
TraderHiddenDeco,,TID_CLAN_GAMES_CENTRE,,sc/buildings.sc,trader_sign_01,-400,2775,4,,,,,,,,,,,,,,,,,,,,,,
ClanGamesCharacter,,TID_CLAN_GAMES_CENTRE,,sc/characters.sc,strongman_idle1_2,-320,1750,4,,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
LootCart,,TID_LOOT_CART,TID_LOOT_CART_INFO,sc/buildings.sc,mega_tombstone,-460,4040,4,,,,,,FALSE,,,,,,,,,,,FALSE,,,,,TRUE
SuperTroopsBuilding,,TID_LOOT_CART,TID_LOOT_CART_INFO,sc/buildings.sc,sauna_anticipation,-400,3300,4,,,,,,FALSE,,,,,,,,,,,FALSE,,,,,TRUE
,,,,,trader_sauna_inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,trader_sauna_active,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,trader_sauna_active_enter,,,,,,,,,,,,,,,,,,,,,,,,,
